question,answer
Che cos’è la Smart Network?,"Lo SmartNetwork di Gruppo Filippetti è realizzato con componenti IoT, ingegnerizzati e prodotti “in house” e alimentati a batterie di lunga durata (fino a 10 anni). Questo permette la creazione di uno o più SmartNetwork in qualsiasi contesto ambientale e garantisce l’azzeramento dei costi infrastrutturali (assenza di cablaggi)."
Che cosa sono I certificati Atex?,"I certificati Atex sono dei certificati attribuiti ai device, collegabili allo Smart Network, per impieghi in atmosfere esplosive."
Come si configura una Network?,"Il Network si configura, nella sua versione base, come rete di tipo Mesh pervasiva asincrona non temporizzata. È quindi sempre disponibile all’invio di dati che avviene senza latenza imposta dal protocollo di trasmissione adottato."
Cos’è una rete di tipo Mesh?,"Nelle reti Mesh i dati di ciascun device sono inviati al concentratore, utilizzando per l’estensione del range ogni ripetitore disponibile. Questo garantisce massima affidabilità, copertura estesa e flessibilità."
Quali sono le caratteristiche dello Smart Network?,"Sensori multifunzionali, Alimentatore a batterie, System Embedding, Copertura illimitata,Multi protocollo, Scalabilità e flessibilità, Tecnologie di localizzazione, Custom device."
Cosa significa System Embedding?,"SmartNetwork è in grado di dialogare con tecnologie di terza parti che operano su protocolli di comunicazionediversi, garantendo la creazione di una infrastruttura network wireless altamente integrata. Questo rende SmartNework l’unica soluzione disponibile per abilitare gli scenari IoT più complessi."
Cosa sono I sensori multifunzionali?,"Per superare I limiti delle tecnologie IoT esistenti, abbiamo sviluppato e prodotto una gamma di device (sensori) multifunzionali, capaci di leggere parametri eterogenei (temperatura, umidità, luminosità, presenza di polveri, concentrazione di CO2, ecc.) in differenti contesti applicativi."
Come sono alimentati gli apparati?,Tutti gli apparati di comunicazione e di monitoraggio (con esclusione del solo gateway) sono alimentati a batterie (con autonomia fino a 10 anni) e possono essere installati nella posizione ottimale per il servizio svolto sia in spazi indoor che outdoor in modo del tutto indipendente dalla disponibilità di energia elettrica.
Cosa vuol dire copertura illimitata?,"Comunicazione dati anche in aree normalmente “schermate” ad altre tecnologie radio, grazie alla pervasività della rete che, essendo costituita da dispositivi a batteria, può essere portata anche in zone normalmente “inaccessibili”, quali sotterranei, aree fortemente compartimentate."
Cosa vuol dire multi protocollo?,"SmartNetwork dialoga attraverso differenti protocolli di comunicazione tra cui il protocollo proprietario SmartNetwork, quello LoRa (Long Range) ed altri (Ultra Narrow band IoT, Sigfox, 5G). In tal modo è possibile implementare SmartNetwork ad ampio raggio (2/3 km in aree ad alta densità e fino a 15 km in campo aperto)."
Cosa si intende scalabilità e flessibilità per lo Smart Network?,"La piattaforma consente la completa scalabilità, sia in estensione delle installazioni, sia in tipologia dei servizi forniti. Inoltre, grazie alla disponibilità di numerosi tipi di bridge, il sistema è espandibile o integrabile con componenti di terze parti che utilizzano protocolli di comunicazione diversi."
Cosa sono le tecnologie di localizzazione?,"SmartNetwork consente di integrare diverse tecnologie di localizzazione outdoor e indoor. Localizza assets e persone in contesti outdoor/indoor, sia in visibilità che in presenza di ostacoli, potendo integrare diverse tecnologie quali: Localizzazione GPS, Localizzazione a Radio Frequenza UWB e localizzazione induttiva."
Cosa si intende per Custom Device?,"Gruppo Filippetti sviluppa la tecnologia SmartNetwork dalla concezione alla fornitura, attraverso la progettazione, la prototipazione e la produzione dei dispositivi, garantendo ovviamente la possibilità di customizzazione in caso di esigenze specifiche del cliente."
Cos’è una IoT smart platform?,"Una platform human centric che abilita tutta la potenza dell’IoT; supera i limiti delle tecnologie esistenti creando un ecosistema di moduli, applicazioni e servizi pensati per monitorare e gestire qualunque dispositivo iot in qualunque ambito di impiego."
Cosa ci puoi fare con una IoT smart Platform?,"Con una IoT smart platform puoi prenderti cura delle persone,fare monitoring, fare management,fare logistics."
Cosa si intende prendersi cura delle persone con una platform?,"Grazie alle Use Case disponibili e all’ampia gamma di soluzioni customizzabili, potrai finalmente digitalizzare e rendere smart la gestione della forza lavoro in qualunque ambito e per qualunque processo.  Device IoT di ultima generazione ti permetteranno per esempio di gestire eventi critici come l’Uomo a Terra (Man Down), rendere le procedure di evacuazione più rapide ed efficaci o, più semplicemente, controllare gli accessi o schedulare attività che impattano fortemente sull’organizzazione del lavoro."
Cosa si intende per monitoring?,"Grazie alla sensoristica IoT di campo prodotta da Gruppo Filippetti,  potrai raccogliere una mole impressionante di dati e sfruttarli per monitorare o automatizzare i processi, anche i più complicati. Le Use Case già presenti nella IoT Smart Platform ti aiuteranno a configurare le azioni in modo rapido ed estremamente semplice, garantendoti il pieno soddisfacimento delle tue esigenze."
Cosa si intende per management?,"Strumenti affidabili e completamente configurabili per gestire qualsiasi tipo di asset, beni immobili (BIM integration), attrezzature e macchinari, impianti industriali e molto altro.  Potenti Widget per la gestione di oggetti complessi come planimetri editabili, ortofoto taggabili e nuvole di punti ottenute da laser scanner. Digitalizza i processi, anche i più complessi, grazie alla flessibilità e all’intelligenza degli strumenti disponibili."
Cosa si intende per logistics?,"Sfrutta tutta la potenza, la scalabilità e la flessibilità delle nostre Piattaforme per la logistica e il tracking. Traccia e monitora qualunque tipo di prodotto, proteggi le merci dai furti e dalle contraffazioni, semplifica e rendi più efficiente la gestione della supply chain anche grazie alla sensoristica RFID."
Cos’è una global IoT platform?,"La Global IoT Platform è un ecosistema integrato di soluzioni tecnologiche best in class e all’avanguardia, pensate per soddisfare molteplici esigenze in differenti ambiti applicativi. Tecnologie “open”, scalabili ed estendibili per supportare lo sviluppo di innovazioni capaci di generare nuovo valore per i Clienti e di catalizzare opportunità per i nostri Partner che troveranno in Gruppo Filippetti un alleato esperto ed affidabile per vincere le sfide digitali del mondo IoT. Il nostro Team R&D, guidato da una rivoluzionaria “Technology Vision”, realizza soluzioni pensate per migliorare e semplificare la vita dell’uomo. La Global IoT Platform semplifica quindi la gestione della complessità."
Da cosa è composto l’ecosystem del global IoT platform?,"E’ composto da IoT smart platform, Enterprise BPM & ECM, Enterprise Setvice Bus, Enterprise Application Framework, Enterprise Logistics Platforms e Enterprise UX Platfrom."
Cos’è un’ Enterprise BPM & ECM?,"Enterprise BPM & ECM è la soluzione di Gruppo Filippetti nata per supportare la digital transformation in grandi organizzazioni (pubbliche e private) attraverso l’automazione di attività ricorsive non a valore aggiunto come classificazione, archiviazione e distribuzione documentale, approvazione e collaborazione sui contenuti."
Cos’è un’ Enterprise Service Bus?,"La soluzione Enterprise Service Bus di Gruppo Filippetti consente ai sistemi di eseguire l’elaborazione dei dati sul margine della rete, vicino all’origine dei dati stessi.  Ciò riduce la larghezza di banda delle comunicazioni tra i sensori di campo e la IoT Smart Platform, eseguendo analisi e generazione di conoscenza presso (o vicino) alla fonte dei dati."
Cos’è un’ Enterprise Application Framework?,"L’Enterprise Application Framework Geooweb sviluppato da Gruppo Filippetti è la soluzione nata per creare applicazioni tecnico-gestionali, basate su standard e protocolli aperti completamente personalizzabili. Tecnologia best in class, altamente configurabile e potente, Enterprise Application Framework grazie alle funzionalità pronte ed i componenti di interfaccia, vi permette di affrontare progetti complessi in numerose e diverse discipline, trasversalmente a molti mercati."
Cos’è un’ Enterprise Logistics Platform?,"La Enterprise Logistics Platform di Gruppo Filippetti è una soluzione nata per offrire una potente ed efficace gestione della logistica attraverso soluzioni di classe Enterprise che combinano componenti software e hardware best in class. Questa Platform consente di automatizzare i processi di Inbound e Outbound, semplifica le procedure di inventario e velocizza le operazioni di ricezione e spedizione. Le interfacce applicative di cui dispone consentono di avere strumenti di operatività e controllo sul dato in tempo reale, e procedure di storicizzazione ed elaborazione del dato a fini statistici."
Cos’è un’ Enterprise UX Platform?,"La Enterprise UX Platform di Gruppo Filippetti è una piattaforma software per la creazione di interfacce per la rappresentazione di dati aggregati in real time e dati storici provenienti dai sistemi connessi alle nostre Platform.  Nasce con lo scopo di rispondere a diverse esigenze e poter essere adattata a differenti scopi. E’ stata sviluppata con tecnologie orientate alla facilità di gestione ed estensione, reattive e responsive e con ampie librerie di widgets. Offre “out of the box” una serie di funzioni di configurazione che facilitano l’implementazione di soluzioni ad hoc."
Cos’è il DPI SAVEMENOW ATEX?,"SaveMENOW ATEX, prodotto da Gruppo Filippetti, è un dispositivo di protezione individuale, indossabile e dotato di ID univoco, che si occupa della localizzazione attiva dell’operatore che lo indossa. Il dispositivo è alimentato a batteria e ricaricabile con sistema wireless QI e/o a contatto. I sensori di cui è dotato sono in grado di fornire misure di parametri meccanici (postura e movimento del soggetto), in maniera accurata e precisa. Grazie all’intelligenza a bordo della IoT Smart Platform di Gruppo Filippetti, è possibile monitorare, oltre alla posizione dell’operatore, anche eventuali situazioni di Uomo a Terra (Man-Down). SaveMENOW comunica periodicamente la propria posizione alla piattaforma IoT Smart Platform tramite infrastruttura wireless Low Power (esclusivamente a gateway di Gruppo Filippetti, tramite protocollo proprietario Smart Network, e modulazione LoRa/FSK)."
Quali sono I vantaggi del DPI ATEX?,"I vantaggi sono: localizzazione accurata indoor/outdoor, integrazione con sensori DPI, batteria ricaricabile, gestione di eventi, informazioni visive per l’utilizzatore."
Quali sono I principi di funzionamento?,"Per la comunicazione vi è il smart network protocol, per la localizzazione si utilizzano UWB, magnetica, gps; viene utilizzato l’accelerometro tri-assiale per fornire I valori in output; i componenti aggiuntivi sono il display, vibro-alarm, pulsante per segnalazione dell’utente, ricevitore magnetico e due coppie di LED bianchi. L’alimentazione è a batteria."
